"Id","Nombre por defecto","Nombre Español (🇪🇸)","Nombre English (🇬🇧)","Nombre Française (🇫🇷)","Nombre Deutsch (🇩🇪)","Nombre Italiano (🇮🇹)","Nombre Português (🇵🇹)","Nombre Netherlands (🇳🇱)","Nombre Catalán (🇪)","Nombre Chino (🇨)"
"3c3ba0fd-6128-4290-a17e-9f6fe793ae69","Bocadillos","Bocadillos","Snacks","","Snacks","","","","Entrepans",""
"66efb521-9cef-48e9-a58f-3fdde6509622","Dulces","Dulces","Sweets","","Süßigkeiten","","","","Dolços",""
"9328388d-80eb-40cd-9324-29d0c267101c","Tostadas","Tostadas","toast","","Toast","","","","Torrades",""
"d5f2a2f8-a0c5-4d20-b798-5edabc043401","Desayunos","Desayunos","Breakfasts","","Frühstücke","","","","Esmorzars",""
"0bd256b0-f16d-44c1-8aa7-7037c0c74607","Pa amb oli","Pa amb oli","Pa amb oli","","Pa amb oli","","","","Pa amb oli",""
"4efaccd1-00e2-4c50-bf60-97e941e1453b","Poké Bowls","Poké Bowls","Poké Bowls","","Poké Bowls","","","","Poké Bowls",""
"1cc1eaaa-e785-4224-88a7-78c0b73bad6e","Para Picar","Para Picar","To Chop","","Zum Hacken","","","","Per Picar",""
"29cb318a-1cb5-4730-be8c-b9295b14c91c","Sandwich","Sandwich","Sandwich","","Sandwich","","","","Sandvitx",""
"9e81ec57-1c2a-49b5-9762-0f7213f683d7","Cafés","Cafés","Cafes","","Cafés","","","","Cafès",""
"95acefb7-a357-4299-a034-f8d7a8dd3fe6","Tés e Infusiones","Tés e Infusiones","Teas and Infusions","","Tees und Aufgüsse","","","","Tes i Infusions",""
"d2e6af9a-c135-4f3c-b6f2-254bec7a2a7c","Bebidas","Bebidas","Drinks","","Getränke","","","","Begudes",""
"a67f5786-ad06-41bf-ac5c-79943f99e364","Licores","Licores","Spirits","","Spirituosen","","","","Licors",""
"833cb195-4759-4955-b22f-c5dc126db75b","Tartas y bolleria","Tartas y bolleria","Cakes and pastries","","Kuchen und Gebäck","","","","Pastís i brioixeria",""
"0fa443d1-d679-4699-a9c8-e46e3d9bb4ef","Combinados","Combinados","Combined","","Kombiniert","","","","Combinats",""
"53f0f9e8-2c28-45e4-8eb7-51cb4035f13d","Cocteles","","","","","","","","",""
