"Id","Nombre por defecto","Nombre Español (🇪🇸)","Nombre English (🇬🇧)","Nombre Française (🇫🇷)","Nombre Deutsch (🇩🇪)","Nombre Italiano (🇮🇹)","Nombre Português (🇵🇹)","Nombre Netherlands (🇳🇱)","Nombre Catalán (🇪)","Nombre Chino (🇨)"
"13d7a44c-2a6a-498f-8435-028f8a99be0e","aguacate ","","","","","","","","",""
"8440feb4-4778-46bf-8cd0-53c27e693a34","Aguacate","","","","","","","","",""
"822fc211-7952-4663-8408-b700c10862ea","Aguacate","","","","","","","","",""
"91dc58e8-9a31-4b22-9899-dc2ba371b28c","Atun","","","","","","","","",""
"ecb38ccb-82a8-43e5-9696-494eead5f8c1","Atun","Atun","Tuna","","Thunfisch","","","","Tony",""
"a4690e94-00fa-4602-a2b1-16b78310e869","Bacalao","Bacalao","Cod","","Kabeljau","","","","Bacallà",""
"03fe0734-fe26-441f-a72f-e69713453d12","Cafe","","","","","","","","",""
"2fc22a9b-6b41-4469-b570-e4409788baca","Cafe","","","","","","","","",""
"8b387894-6ef6-440f-8591-42e55fa87ee2","Cafe","","","","","","","","",""
"a2b67d15-017f-48c1-b10a-e2306266e44a","Caramelo","","","","","","","","",""
"14eb2137-8afe-4693-9528-32884ac262ee","Chocolate blanco","","","","","","","","",""
"dc593fad-42d4-4e5d-a835-0f238f52a78a","Chocolate blanco","","","","","","","","",""
"e2390b0a-6d51-42c4-966d-7832ce3eab6e","Cruccio","","","","","","","","",""
"e9df8fde-ef76-4f0b-9ca5-8713b56ad791","Descafeinado","","","","","","","","",""
"036c7ba4-6dcf-4d2a-9d03-50a577c08699","Descafeinado","","","","","","","","",""
"6b3adae1-10ed-4946-80cb-16c0df8e79af","Descafeinado","","","","","","","","",""
"8af06b4e-2611-4de0-82d2-bb5badb8c1aa","Descafeinado","","","","","","","","",""
"f28fd961-e346-4b43-acd9-4547f151cfc8","Descafeinado","","","","","","","","",""
"42c55a55-3881-4226-a1b6-112c39450b4b","Descafeinado","Descafeinado","Decaffeinated","","Entkoffeiniert","","","","Descafeïnat",""
"7406fe91-7818-4a17-bde6-837ac7f3e60f","Descafeinado","Descafeinado","Decaffeinated","","Entkoffeiniert","","","","Descafeïnat",""
"afa6f3ec-0b5e-4dc6-a1f2-2c7c602c6bab","Descafeinado","Descafeinado","Decaffeinated","","Entkoffeiniert","","","","Descafeïnat",""
"8d174cfc-aa05-4700-aa21-6338f951dee9","Descafeinado","","","","","","","","",""
