"Id","Nombre por defecto","Descripción por defecto","Precio (€)","Alérgenos","Nombre Español (🇪🇸)","Descripción Español (🇪🇸)","Nombre English (🇬🇧)","Descripción English (🇬🇧)","Nombre Française (🇫🇷)","Descripción Française (🇫🇷)","Nombre Deutsch (🇩🇪)","Descripción Deutsch (🇩🇪)","Nombre Italiano (🇮🇹)","Descripción Italiano (🇮🇹)","Nombre Português (🇵🇹)","Descripción Português (🇵🇹)","Nombre Netherlands (🇳🇱)","Descripción Netherlands (🇳🇱)","Nombre Catalán (🇪)","Descripción Catalán (🇪)","Nombre Chino (🇨)","Descripción Chino (🇨)"
"78ed3aee-f6d6-4f09-b313-a1a86d7aacfc","Hedwig","Jamon cocido y queso","4.9","Leche, Gluten","Hedwig","Jamon cocido y queso","Hedwig","Cooked ham and cheese","Hedwig","jambon cuit et fromage","Hedwig","Gekochter Schinken und Käse","Hedwig","prosciutto cotto e formaggio","Hedwig","fiambre cozido e queijo","Hedwig","gekookte ham en kaas","Hedwig","Pernil cuit i formatge","Hedwig","熟火腿和奶酪"
"152e26de-cc68-46fb-bfa6-9807a996de7a","Riddle","Variedad de quesos","15.9","Leche","Riddle","Variedad de quesos, con pan","Riddle","Variety of cheeses","Riddle","assortiment de fromages","Riddle","Verschiedene Käsesorten","Riddle","assortimento di formaggi","Riddle","variedade de queijos","Riddle","assortiment kazen","Riddle","Varietat de formatges","Riddle","多种奶酪"
"8aba1b33-49c6-4fe3-9f8d-0498cdb16ff0","Gryffindor","Trozos de pollo cocido, zanahoria, pepino, cebolla frita, salsa teriyaki","11.9","Gluten, Soja","Gryffindor","Trozos de pollo cocido, zanahoria, pepino, cebolla frita, salsa teriyaki","Gryffindor","Pieces of cooked chicken, carrot, cucumber, fried onion, teriyaki sauce","Gryffindor","morceaux de poulet cuit, carotte, concombre, oignon frit, sauce teriyaki","Gryffindor","Gekochte Hähnchenstücke, Karotten, Gurken, Röstzwiebeln, Teriyaki-Sauce","Gryffindor","pezzi di pollo cotto, carota, cetriolo, cipolla fritta, salsa teriyaki","Gryffindor","pedaços de frango cozido, cenoura, pepino, cebola frita, molho teriyaki","Gryffindor","stukjes gekookte kip, wortel, komkommer, gebakken ui, teriyakisaus","Gryffindor","Trossos de pollastre cuit, pastanaga, cogombre, ceba fregida, salsa teriyaki","Gryffindor","熟鸡肉块, 胡萝卜, 黄瓜, 炸洋葱, 照烧酱"
"bad82e11-9aac-4d33-97d2-8578bcc85eef","Scrambled","Huevos revueltos","5.9","Huevo","Scrambled","Huevos revueltos","Scrambled","scrambled eggs","Scrambled","œufs brouillés","Scrambled","Rührei","Scrambled","uova strapazzate","Scrambled","ovos mexidos","Scrambled","roerei","Scrambled","ous remenats","Scrambled","炒蛋"
"aa6385bb-d1d3-48bf-9ace-f25e551738c6","Fit","yogur, crema de cacahuate, fruta","5.5","Leche, cacahuetes","Fit","yogur, crema de cacahuate, fruta","Fit","Oatmeal, yogurt, peanut butter, fruit","Fit","yaourt, beurre de cacahuète, fruit","Fit","Haferflocken, Joghurt, Erdnussbutter, Obst","Fit","yogurt, burro di arachidi, frutta","Fit","iogurte, manteiga de amendoim, fruta","Fit","yoghurt, pindakaas, fruit","Fit","Civada, iogurt, crema de cacahuate, fruita","Fit","酸奶, 花生酱, 水果"
"653eefb3-0a4c-4470-8457-f01f2597a3dc","Thestral","Lechuga, tomate, cebolla, aguacate","5.9","Gluten","Thestral","Lechuga, tomate, cebolla, aguacate","Thestral","Lettuce, tomato, onion, avocado","Thestral","laitue, tomate, oignon, avocat","Thestral","Salat, Tomate, Zwiebel, Avocado","Thestral","lattuga, pomodoro, cipolla, avocado","Thestral","alface, tomate, cebola, abacate","Thestral","sla, tomaat, ui, avocado","Thestral","Enciam, tomàquet, ceba, alvocat","Thestral","生菜, 番茄, 洋葱, 牛油果"
"732e1e23-9a01-4e9a-9e84-709cd0886b0b","Incendio","Totopos, queso, jalapeños, pollo guacamole.","14.9","Leche","Incendio","Totopos, queso, jalapeños, pollo guacamole.","Incendio","Tortilla chips, cheese, jalapenos, chicken guacamole.","Incendio","chips de tortilla, fromage, jalapeños, pollo guacamole.","Incendio","Tortillachips, Käse, Jalapenos, Hühnchen-Guacamole.","Incendio","chips di tortilla, formaggio, jalapeños, pollo guacamole.","Incendio","chips de tortilha, queijo, jalapeños, pollo guacamole.","Incendio","tortillachips, kaas, jalapeño's, pollo guacamole.","Incendio","Totopos, formatge, jalapenys, pollastre guacamole.","Incendio","玉米片, 奶酪, 墨西哥辣椒, pollo 牛油果酱."
"4b999279-2314-4898-a31e-3ee190005bd6","Café Bombón","Cafe, Leche condensada","2.4","Leche","Café Bombón","Cafe, leche condensada","Bombón coffee","coffee, condensed milk","Café bombón","café, lait concentré","Bombón-Kaffee","Kaffee, Kondensmilch","Caffè bombón","caffè, latte condensato","Café bombón","café, leite condensado","Bombón-koffie","koffie, gecondenseerde melk","Cafè bombó","cafè, llet condensada","炼乳咖啡","咖啡, 炼乳"
"a26d5475-3dea-4b41-82ab-d6338d821c3a","Americano","Cafe, Agua caliente","2.4","Ninguno","Americano","Cafe, Agua caliente","Americano","coffee, hot water","Americano","café, eau chaude","Americano","Kaffee, heißes Wasser","Americano","caffè, acqua calda","Americano","café, água quente","Americano","koffie, heet water","Americano","cafè, aigua calenta","Americano","咖啡, 热水"
"1bb2eea6-6f40-44cd-a4f6-c6ffa47097d7","Ravenclaw","Trozos de salmón o pollo, cebolla encurtida, pepino, zanahoria, maíz, salsa hoishin","11.9","Gluten, Pescado, Soja","Ravenclaw","Trozos de salmón o pollo, cebolla encurtida, pepino, zanahoria, maíz, salsa hoishin","Ravenclaw","Pieces of salmon or chicken, pickled onion, cucumber, carrot, corn, their sauce","Ravenclaw","Trozos de saumon ou pollo, oignon mariné, concombre, carotte, maïs, sauce hoisin","Ravenclaw","Lachs- oder Hühnchenstücke, eingelegte Zwiebeln, Gurken, Karotten, Mais und ihre Soße","Ravenclaw","Trozos de salmone o pollo, cipolla sottaceto, cetriolo, carota, mais, salsa hoisin","Ravenclaw","Trozos de salmão ou pollo, cebola em conserva, pepino, cenoura, milho, molho hoisin","Ravenclaw","Trozos de zalm of pollo, ingelegde ui, komkommer, wortel, maïs, hoisinsaus","Ravenclaw","Trossos de salmó o pollastre, ceba adobada, cogombre, pastanaga, blat de moro, salsa d'aquests","Ravenclaw","Trozos de 三文鱼或pollo, 腌洋葱, 黄瓜, 胡萝卜, 玉米, 海鲜酱"
"d1e37805-6bc0-4613-9f33-2e4f0b2694f2","Bola helado vainilla","Helado","2.5","Leche","Bola helado vainilla","Helado","Vanilla ice cream scoop","ice cream","Boule de glace à la vanille","glace","Kugel Vanilleeis","Eis","Pallina di gelato alla vaniglia","gelato","Bola de gelado de baunilha","gelado","Bolletje vanille-ijs","ijs","Bola de gelat de vainilla","gelat","香草冰淇淋球","冰淇淋"
"515e4115-5263-486a-8e72-242f69899571","Hogwards","tostada don sobrasada asada, queso brie y miel.","5.9","Gluten, Leche","Hogwards","tostada don sobrasada asada, queso brie y miel.","Hogwards","roasted don sobrasada toast, brie cheese and honey.","Hogwards","tartine don sobrasada grillée, fromage Brie et miel.","Hogwards","gerösteter Don-Sobrasada-Toast, Briekäse und Honig.","Hogwards","toast don sobrasada grigliata, formaggio Brie e miele.","Hogwards","torrada don sobrasada grelhada, queijo Brie e mel.","Hogwards","toast don gegrilde sobrasada, Brie en honing.","Hogwards","torrada do sobrassada rostida, formatge brie i mel.","Hogwards","吐司 don 烤索布拉萨达香肠, 布里奶酪和蜂蜜."
"36f3b763-5adb-463a-b59e-e539bda8fb97","Doble espresso","Doble carga de expresso","3.5","Ninguno","Doble espresso","Doble carga de expresso","Double espresso","double espresso shot","Double espresso","double dose d'espresso","Doppelter Espresso","doppelter Espresso-Shot","Espresso doppio","doppia dose di espresso","Espresso duplo","dose dupla de espresso","Dubbele espresso","dubbele espresso-shot","Espresso doble","doble càrrega d'espresso","双份浓缩咖啡","双份浓缩咖啡"
"2ca94384-7fdd-4688-84fc-29e6a05fa048","Lungo","Expresso rebajado con mucha agua","3.0","Ninguno","Lungo","Expresso rebajado con mucha agua","Lungo","Expresso rebajado with mucha water","Lungo","Expresso rebajado avec mucha eau","Lungo","Expresso rebajado mit mucha Wasser","Lungo","Expresso rebajado con mucha acqua","Lungo","Expresso rebajado com mucha água","Lungo","Expresso rebajado met mucha water","Lungo","Expresso rebajado amb mucha aigua","Lungo","Expresso rebajado配mucha 水"
"911fbe73-5f5a-4d96-9f08-d250d44d5624","Babychino","crema de leche","Gratis","Leche","Babychino","crema de leche","Babychino","milk foam","Babychino","mousse de lait","Babychino","Milchschaum","Babychino","schiuma di latte","Babychino","espuma de leite","Babychino","melkschuim","Babychino","escuma de llet","Babychino","奶泡"
"48d57765-433e-4b93-9604-d37a642918fd","Tonks","Yogur, fruta, frutos secos y miel","5.5","Leche, Frutos de cáscara","Tonks","Yogur, fruta, frutos secos y miel","Tonks","Yogurt, fruit, nuts and honey","Tonks","yaourt, fruit, fruits à coque et miel","Tonks","Joghurt, Obst, Nüsse und Honig","Tonks","yogurt, frutta, frutta secca e miele","Tonks","iogurte, fruta, frutos secos e mel","Tonks","yoghurt, fruit, noten en honing","Tonks","Iogurt, fruita, fruita seca i mel","Tonks","酸奶, 水果, 坚果和蜂蜜"
"43ab3ebc-9c28-4551-976d-e1a63ac6aede","Luxury (2 personas)","Zumo de naranja, tabla de quesos y embutidos ibéricos, fruta, yogur y surtido de panes y bolleria.","28.0","Gluten, Leche","Luxury (2 personas)","Zumo de naranja, tabla de quesos y embutidos ibéricos, fruta, yogur y surtido de panes y bolleria.","Luxury (2 personas)","Orange juice, glass of prosseco, board of Iberian cheeses and sausages, fruit, yogurt and an assortment of breads and pastries.","Luxury (2 personas)","jus d'orange, plateau de fromages et charcuteries ibériques, fruit, yaourt et assortiment de pains et viennoiseries.","Luxury (2 personas)","Orangensaft, ein Glas Prosseco, ein Brett mit iberischem Käse und Wurst, Obst, Joghurt und eine Auswahl an Brot und Gebäck.","Luxury (2 personas)","succo d'arancia, tagliere di formaggi e salumi iberici, frutta, yogurt e assortimento di panee e pasticceria.","Luxury (2 personas)","sumo de laranja, tábua de queijos e enchidos ibéricos, fruta, iogurte e seleção de pães e pastelaria.","Luxury (2 personas)","sinaasappelsap, kaasplank en Iberische vleeswaren, fruit, yoghurt en broodassortiment en gebak.","Luxury (2 personas)","Suc de taronja, copa de prossec, taula de formatges i embotits ibèrics, fruita, iogurt i assortiment de pans i brioixeria.","Luxury (2 personas)","橙汁, 奶酪拼盘和伊比利亚冷切肉, 水果, 酸奶和面包拼盘和糕点."
"fd8a7de4-abca-4d0f-9540-ab7b5b16bcb7","Nestea","","2.9","Ninguno","Nestea","","Nestea","","Nestea","","Nestea","","Nestea","","Nestea","","Nestea","","Nestea","","Nestea",""
"7cfc3fad-4e9a-414e-bba4-999c3180b014","Fanta Naranja","","2.9","Ninguno","Fanta Naranja","","Fanta Naranja","","Fanta Naranja","","Fanta Naranja","","Fanta Naranja","","Fanta Naranja","","Fanta Naranja","","Fanta Naranja","","Fanta Naranja",""
"f85333e8-bcc8-4ed2-8998-8ab2c1566f77","Agua","","2.5","Ninguno","Agua","","Water","","Eau","","Wasser","","Acqua","","Água","","Water","","Aigua","","水",""
"910214ca-dd7d-4303-be73-446856841a46","Estrella Galicia 0'0","Cerveza sin alcohol","3.0","Gluten","Estrella Galicia 0'0","Cerveza sin alcohol","Estrella Galicia 0'0","non-alcoholic beer","Estrella Galicia 0'0","bière sans alcool","Estrella Galicia 0'0","alkoholfreies Bier","Estrella Galicia 0'0","birra analcolica","Estrella Galicia 0'0","cerveja sem álcool","Estrella Galicia 0'0","alcoholvrij bier","Estrella Galicia 0'0","cervesa sense alcohol","Estrella Galicia 0'0","无酒精啤酒"
